href,city,buildingType,district,microDistrict,street,buildNumber,rooms,metro,fullSquare,livingSquare,kitchenSquare,floor,floorCount,price
https://valion.ua/properties/960192/,Киев,Квартиры,Дарницкий,Осокорки,Срибнокильская ул.,22а,3,None,2,10,2 025 000 грн.
https://valion.ua/properties/956343/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,3,Левобережная,13,25,1 863 000 грн.
https://valion.ua/properties/959922/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4к13,4,Левобережная,9,10,3 645 000 грн.
https://valion.ua/properties/959847/,Киев,Квартиры,Подольский,Сырец,Тираспольская ул.,43,1,Сырец,3,16,1 296 000 грн.
https://valion.ua/properties/959669/,Киев,Квартиры,Святошинский,None,Семьи Стешенко (Строкача Т.) ул.,7,1,None,22,25,1 782 000 грн.
https://valion.ua/properties/959611/,Киев,Квартиры,Святошинский,Борщаговка,Королева Академика просп.,12,2,None,5,9,1 269 000 грн.
https://valion.ua/properties/954497/,Киев,Квартиры,Шевченковский,Центр,Бульварно-Кудрявская (Воровского) ул.,16,1,Золотые Ворота,3,5,2 177 000 грн.
https://valion.ua/properties/951875/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4к2,1,Левобережная,7,9,1 971 000 грн.
https://valion.ua/properties/958740/,Киев,Квартиры,Днепровский,None,Регенераторная ул.,4к7,2,Левобережная,2,5,1 890 000 грн.
https://valion.ua/properties/959711/,Киев,Квартиры,Дарницкий,Харьковский,Бажана Николая просп.,5,2,Харьковская,15,16,1 377 620 грн.
https://valion.ua/properties/956335/,Киев,Квартиры,Подольский,Виноградарь,Правды просп.,45,2,Нивки,14,25,1 540 000 грн.
https://valion.ua/properties/954950/,Киев,Квартиры,Соломенский,Караваевы Дачи,Нижнеключевая ул.,14,1,Политехнический институт,12,25,1 638 000 грн.
https://valion.ua/properties/877764/,Киев,Квартиры,Шевченковский,None,Сикорского ул.,1,2,None,12,24,4 272 000 грн.
https://valion.ua/properties/800214/,Киев,Квартиры,Соломенский,Караваевы Дачи,Нижнеключевая ул.,14,3,Шулявская,4,25,2 604 000 грн.
https://valion.ua/properties/954985/,Киев,Квартиры,Шевченковский,КПИ,Победы просп.,11,1,Политехнический институт,10,36,1 997 000 грн.
https://valion.ua/properties/959348/,Киев,Квартиры,Оболонский,Оболонь,Кондратюка Юрия ул.,4,2,Героев Днепра,1,9,1 710 000 грн.
https://valion.ua/properties/958082/,Киев,Квартиры,Днепровский,None,Соборности (Воссоединения) просп.,17к2,1,Левобережная,9,10,1 278 000 грн.
https://valion.ua/properties/950913/,Киев,Квартиры,Дарницкий,Осокорки,Ващенко Григория ул.,1,1,Осокорки,13,21,1 566 000 грн.
https://valion.ua/properties/275513/,Киев,Квартиры,Голосеевский,Центр,Антоновича (Горького) ул.,10а,4,Площадь Льва Толстого,6,6,8 640 000 грн.
https://valion.ua/properties/958743/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,58,1,Левобережная,16,25,2 052 000 грн.
https://valion.ua/properties/958746/,Киев,Квартиры,Шевченковский,Нивки,Щербаковского(Щербакова)ул.,49г,3,Нивки,2,9,1 747 000 грн.
https://valion.ua/properties/941702/,Киев,Квартиры,Святошинский,None,Клавдиевская ул.,40е,2,Академгородок,5,26,2 000 000 грн.
https://valion.ua/properties/958981/,Киев,Квартиры,Голосеевский,Голосеево,Глушкова Академика просп.,9в,2,Ипподром,24,25,2 484 000 грн.
https://valion.ua/properties/815178/,Киев,Квартиры,Голосеевский,Голосеево,Голосеевский просп.(40-летия Октября),68,3,Голосеевская,4,22,5 940 000 грн.
https://valion.ua/properties/955433/,Киев,Квартиры,Шевченковский,КПИ,Гаврилишина Богдана ул.(Василевской Ванды),6,1,Политехнический институт,5,9,1 375 000 грн.
